index_id,True_Misconception,openai/gpt-oss-20b,llama-3.1-8b-instant,qwen/qwen3-32b
0,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
1,Wrong Fraction,Wrong Fraction,Additive Reasoning Error,Additive Reasoning Error
2,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
3,Unclassified Error,Interior Angle Error,Definition Error,Definition Error
4,Unclassified Error,Longer Decimals Are Bigger,Shorter Decimals Are Bigger,Shorter Decimals Are Bigger
5,Duplication Error,Duplication Error,Duplication Error,Duplication Error
6,Unclassified Error,Inverse Operation Error,Additive Reasoning Error,Flip and Change Error
7,Unclassified Error,Unclassified Error,Whole Number Bias,Shorter Decimals Are Bigger
8,Subtraction Error,Multiplication Error,Additive Reasoning Error,Additive Reasoning Error
9,Unclassified Error,Wrong Fraction,Adding Fractions Across,Adding Fractions Across
10,Unclassified Error,Additive Reasoning Error,Duplicate Error,Additive Reasoning Error
11,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
12,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
13,Unknowable Error,Unclassified Error,Unclassified Error,Unclassified Error
14,Subtraction Error,Additive Reasoning Error,Whole Number Bias,Additive Reasoning Error
15,Wrong Fraction,Wrong Term,Additive Reasoning Error,Incomplete Calculation
16,Swapped Dividend,Swapped Dividend,Additive Reasoning Error,Swapped Dividend
17,Duplication Error,Unclassified Error,Duplication Error,Duplication Error
18,Multiplication Error,Division Error,Swapped Dividend,Inversion Error
19,Irrelevant Explanation,Unclassified Error,Whole Number Bias,Additive Reasoning Error
20,Positive/Negative Sign Error,Positive/Negative Sign Error,Whole Number Bias,Positive/Negative Sign Error
21,Inversion Error,Denominator Only Change,Duplication Error,Inversion Error
22,Inversion Error,Multiplication Error,Incomplete Calculation,Inversion Error
23,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
24,Unclassified Error,Unclassified Error,Additive Reasoning Error,Incomplete Calculation
25,Unclassified Error,Multiplication Error,Scale Factor Error,Scale Factor Error
26,Unclassified Error,Wrong Fraction,Additive Reasoning Error,Division Error
27,Whole Number Bias,Denominator Only Change,Whole Number Bias,Whole Number Bias
28,Unclassified Error,Unclassified Error,Additive Reasoning Error,Incomplete Calculation
29,Unclassified Error,Multiplication Error,Unclassified Error,Unclassified Error
30,Unclassified Error,Positive/Negative Sign Error,Additive Reasoning Error,Positive/Negative Sign Error
31,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
32,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
33,Wrong Fraction,Wrong Term,Wrong Fraction,Incomplete Calculation
34,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
35,Positive/Negative Sign Error,Positive/Negative Sign Error,Whole Number Bias,Positive/Negative Sign Error
36,Irrelevant Explanation,Wrong Term,Whole Number Bias,Unclassified Error
37,Definition Error,Definition Error,Whole Number Bias,Definition Error
38,Not A Variable,Wrong Term,Whole Number Bias,Whole Number Bias
39,Unclassified Error,Unclassified Error,Whole Number Bias,Longer Decimals Are Bigger
40,Unclassified Error,Multiplication Error,Swapped Dividend,Swapped Dividend
41,Additive Reasoning Error,Additive Reasoning Error,"Whole Number Bias, Additive Reasoning Error",Additive Reasoning Error
42,Unclassified Error,Multiplication Error,Unknowable Error,Inversion Error
43,Duplication Error,Duplication Error,Duplication Error,Duplication Error
44,Unclassified Error,Unclassified Error,Multiplication Error,Unclassified Error
45,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
46,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
47,Denominator Only Change,Additive Reasoning Error,Adding Fractions Across,Adding Fractions Across
48,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
49,Irrelevant Explanation,Unclassified Error,Whole Number Bias,Whole Number Bias
50,Inversion Error,Inverse Operation Error,Multiplication Error,Inversion Error
51,Unclassified Error,Whole Number Bias,Whole Number Bias,Whole Number Bias
52,Unclassified Error,Wrong Fraction,Additive Reasoning Error,Additive Reasoning Error
53,Swapped Dividend,Multiplication Error,Whole Number Bias,Swapped Dividend
54,Unclassified Error,Wrong Fraction,Incomplete Calculation,Whole Number Bias
55,Unclassified Error,Wrong Fraction,Whole Number Bias,Whole Number Bias
56,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
57,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
58,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
59,Adding Fractions Across,Adding Fractions Across,Adding Unlike Terms,Adding Fractions Across
60,Whole Numbers Are Larger,Whole Number Bias,Whole Number Bias,Whole Numbers Are Larger
61,Unclassified Error,Irrelevant Explanation,Whole Number Bias,Unclassified Error
62,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
63,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
64,Unclassified Error,Subtraction Error,Additive Reasoning Error,Additive Reasoning Error
65,Unclassified Error,Unclassified Error,Unclassified Error,Adding Fractions Across
66,Positive/Negative Sign Error,Positive/Negative Sign Error,Additive Reasoning Error,Positive/Negative Sign Error
67,Duplication Error,Duplication Error,Duplicate Error,Duplication Error
68,Unclassified Error,Positive/Negative Sign Error,Additive Reasoning Error,Positive/Negative Sign Error
69,Unclassified Error,Wrong Fraction,Whole Number Bias,Unclassified Error
70,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
71,Unclassified Error,Whole Number Bias,Adding Fractions Across,Additive Reasoning Error
72,Wrong Term,Wrong Term,Whole Number Bias,Unclassified Error
73,Incomplete Calculation,Incomplete Calculation,Additive Reasoning Error,Incomplete Calculation
74,Duplication Error,Duplication Error,Duplication Error,Duplication Error
75,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
76,Additive Reasoning Error,Additive Reasoning Error,Inversion Error,Additive Reasoning Error
77,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
78,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
79,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
80,Inversion Error,Flip and Change Error,Inversion Error,Flip and Change Error
81,Scale Factor Error,Whole Number Bias,Whole Number Bias,Tacking On Zeroes
82,Unclassified Error,Duplication Error,Swapped Dividend,Duplication Error
83,Unclassified Error,Definition Error,Whole Number Bias,Definition Error
84,Unclassified Error,Duplication Error,Duplication Error,Duplication Error
85,Unclassified Error,Unclassified Error,Unclassified Error,Definition Error
86,Unclassified Error,Multiplication Error,Multiplication Error,Unclassified Error
87,Whole Numbers Are Larger,Whole Number Bias,Whole Number Bias,Whole Numbers Are Larger
88,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
89,Adding Fractions Across,Additive Reasoning Error,Adding Fractions Across,Adding Fractions Across
90,Ignores Zeroes,Whole Number Bias,Whole Number Bias,Unclassified Error
91,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
92,Subtraction Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
93,Unclassified Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
94,Unclassified Error,Additive Reasoning Error,Adding Fractions Across,Additive Reasoning Error
95,Unclassified Error,Wrong Fraction,Whole Number Bias,Unclassified Error
96,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
97,Unclassified Error,Wrong Term,Whole Number Bias,Wrong Term
98,Unclassified Error,Additive Reasoning Error,Additive Reasoning Error,Unclassified Error
99,Unclassified Error,Unclassified Error,Swapped Dividend,Unclassified Error
