index_id,True_Misconception,openai/gpt-oss-20b,llama-3.1-8b-instant,qwen/qwen3-32b
0,Incomplete,Wrong_fraction,Scale,Unclassified_Error
1,Multiplying_by_4,Inverse_operation,Inversion,Inverse_operation
2,Unclassified_Error,Wrong_fraction,Additive,Denominator-only_change
3,Unclassified_Error,Definition,Inversion,Wrong_term
4,Positive,Positive,Inversion,Positive
5,Unclassified_Error,Unclassified_Error,Incomplete,Unclassified_Error
6,Multiplying_by_4,Inverse_operation,Multiplying_by_4,Inverse_operation
7,Incomplete,Wrong_Fraction,Whole_numbers_larger,Unclassified_Error
8,Subtraction,Mult,Subtraction,Subtraction
9,Additive,Subtraction,Multiplying_by_4,Additive
10,Incomplete,Unclassified_Error,Mult,Wrong_Fraction
11,Unclassified_Error,Wrong_term,Subtraction,Scale
12,Unclassified_Error,Unclassified_Error,Inversion,Subtraction
13,SwapDividend,Division,Inverse_operation,FlipChange
14,Additive,Subtraction,Ignores_zeroes,Additive
15,Inversion,Inversion,Inversion,Inversion
16,Unclassified_Error,Subtraction,Inversion,Positive
17,WNB,Denominator-only_change,Multiplying_by_4,Wrong_fraction
18,Unclassified_Error,Unclassified_Error,Inversion,Unclassified_Error
19,Unclassified_Error,Unclassified_Error,Inversion,Positive
20,Unclassified_Error,Unclassified_Error,Additive,Unclassified_Error
21,Unclassified_Error,Denominator-only_change,Multiplying_by_4,Scale
22,Unclassified_Error,Positive,WNB,Unclassified_Error
23,Scale,Wrong_term,Ignores_zeroes,Unclassified_Error
24,Unclassified_Error,Wrong_fraction,Wrong_fraction,Unknowable
25,Unclassified_Error,Wrong_fraction,Inversion,SwapDividend
26,WNB,Denominator-only_change,Inversion,Wrong_Fraction
27,Duplication,Wrong_fraction,Inversion,Scale
28,Unclassified_Error,Inverse_operation,Inverse_operation,Inverse_operation
29,Unclassified_Error,Denominator-only_change,WNB,Unclassified_Error
30,Not_variable,Definition,Incorrect application of algebra,Unclassified_Error
31,Unclassified_Error,Unclassified_Error,SwapDividend,Unclassified_Error
32,Incomplete,Scale,Adding_terms,Wrong_fraction
33,Wrong_fraction,Wrong_term,Inv,Inversion
34,Incomplete,Wrong_term,Wrong_fraction,Wrong_term
35,Whole_numbers_larger,Unclassified_Error,Irrelevant,Unclassified_Error
36,Multiplying_by_4,Multiplying_by_4,Multiplying_by_4,Multiplying_by_4
37,Definition,Definition,Not_variable,Definition
38,Irrelevant,Wrong_fraction,Multiplying_by_4,Wrong_fraction
39,Unclassified_Error,Denominator-only_change,Inversion,Denominator-only_change
40,Wrong_fraction,Wrong_term,Multiplying_by_4,Unclassified_Error
41,Irrelevant,Wrong_fraction,Multiplying_by_4,Unclassified_Error
42,Unclassified_Error,Wrong_fraction,Adding_terms,Additive
43,Unclassified_Error,Wrong_fraction,Multiplying_by_4,Scale
44,Incomplete,Wrong_fraction,Inversion,Incomplete
45,Unclassified_Error,Wrong_fraction,Adding_across,Wrong_fraction
46,Unclassified_Error,Unclassified_Error,Additive,Unclassified_Error
47,Unclassified_Error,Definition,Inversion,Wrong_term
48,Subtraction,Subtraction,Inverse_operation,Subtraction
49,Unclassified_Error,Unclassified_Error,Inverse_operation,Unclassified_Error
50,Unclassified_Error,Wrong_fraction,Inverse_operation,Inversion
51,Subtraction,Subtraction,Subtraction,Subtraction
52,Ignores_zeroes,Unclassified_Error,Shorter_is_bigger,Unclassified_Error
53,Unclassified_Error,Unclassified_Error,Inverse_operation,Unclassified_Error
54,Unclassified_Error,Unclassified_Error,Whole_numbers_larger,Wrong_term
55,Additive,Unclassified_Error,WNB,Subtraction
56,Adding_across,Wrong_fraction,Multiplying_by_4,Adding_across
57,Unclassified_Error,Wrong_fraction,Incomplete,Wrong_fraction
58,Positive,Positive,Inversion,FlipChange
59,Unclassified_Error,Irrelevant,Additive,Additive
60,Positive,Wrong_term,Inversion,Unclassified_Error
61,Duplication,Scale,Whole_numbers_larger,Scale
62,Unclassified_Error,Definition,Not_variable,Unclassified_Error
63,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Unclassified_Error
64,Duplication,Scale,Multiplying_by_4,Wrong_Fraction
65,Wrong_term,Wrong_term,Multiplying_by_4,Incomplete
66,Unclassified_Error,Unclassified_Error,Definition,Unclassified_Error
67,Unclassified_Error,Wrong_fraction,Inversion,Unclassified_Error
68,Duplication,Denominator-only_change,Multiplying_by_4,Wrong_Fraction
69,Unclassified_Error,Unclassified_Error,Adding_across,Unclassified_Error
70,Unclassified_Error,Unclassified_Error,Inverse_operation,Unclassified_Error
71,Interior,Interior,Wrong_term,Definition
72,Unclassified_Error,Positive,Inversion,Positive
73,Additive,Subtraction,Wrong_Fraction,Subtraction
74,Additive,Subtraction,Inverse_operation,Inverse_operation
75,Wrong_term,Wrong_term,Adding_terms,Incomplete
76,Incomplete,Wrong_fraction,Wrong_Fraction,Wrong_term
77,Additive,Subtraction,Inversion,Additive
78,Unclassified_Error,Unclassified_Error,Irrelevant,Unclassified_Error
79,Unclassified_Error,Wrong_term,Irrelevant,Unknowable
80,Incomplete,Wrong_fraction,Multiplying_by_4,Incomplete
81,Duplication,Wrong_fraction,Multiplying_by_4,Scale
82,Unclassified_Error,Positive,Inversion,Inversion
83,Unclassified_Error,Unclassified_Error,Wrong_term,Unclassified_Error
84,Unclassified_Error,Unclassified_Error,Inversion,Unclassified_Error
85,Whole_numbers_larger,Unclassified_Error,Definition,Whole_numbers_larger
86,Unclassified_Error,Denominator-only_change,Incomplete,Subtraction
87,Adding_across,Adding_across,Inverse_operation,Adding_across
88,Incomplete,Unclassified_Error,Multiplying_by_4,Unclassified_Error
89,Unclassified_Error,Mult,Multiplying_by_4,Wrong_fraction
90,Unclassified_Error,Irrelevant,Incomplete,Unclassified_Error
91,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Unclassified_Error
92,Unclassified_Error,Wrong_term,Incomplete,SwapDividend
93,Unclassified_Error,Definition,Shorter_is_bigger,Unclassified_Error
94,Unclassified_Error,Wrong_fraction,Multiplying_by_4,Wrong_Fraction
95,Unclassified_Error,Subtraction,Inversion,Inverse_operation
96,Mult,Wrong_fraction,Multiplying_by_4,Denominator-only_change
97,Incomplete,Scale,WNB,Unclassified_Error
98,Denominator-only_change,Adding_across,Adding_across,Additive
99,Wrong_term,Wrong_term,Multiplying_by_4,Additive
100,Unclassified_Error,Unclassified_Error,Inversion,Unclassified_Error
101,Unclassified_Error,Incomplete,Definition,Irrelevant
102,Additive,Additive,Inversion,Additive
103,Duplication,Denominator-only_change,Inverting,Unclassified_Error
104,Mult,Inverse_operation,Inversion,Inversion
105,Subtraction,Subtraction,Inverse_operation,Additive
106,Unclassified_Error,Interior,Inversion,Subtraction
107,Wrong_Fraction,Wrong_fraction,Inversion,Wrong_fraction
108,Wrong_term,Wrong_term,Incomplete,Wrong_term
109,Unclassified_Error,Positive,Inverse_operation,Positive
110,Unclassified_Error,Wrong_fraction,Inversion,Inversion
111,Subtraction,Mult,Incomplete,Subtraction
112,Inversion,Inversion,Multiplying_by_4,Inversion
113,Mult,Division,Inversion,SwapDividend
114,Denominator-only_change,Adding_across,Addition,Additive
115,Unclassified_Error,Wrong_term,Whole_numbers_larger,Wrong_term
116,Wrong_Fraction,Subtraction,Multiplying_by_4,Inversion
117,Unclassified_Error,Wrong_fraction,Wrong_fraction,Unclassified_Error
118,Unclassified_Error,Definition,Unclassified_Error,Certainty
119,Unclassified_Error,Wrong_fraction,Multiplying_by_4,Unknowable
120,Incomplete,Unclassified_Error,Wrong_Fraction,Unclassified_Error
121,Unclassified_Error,Wrong_fraction,Multiplying_by_4,Wrong_fraction
122,Unclassified_Error,Positive,Wrong_term,Positive
123,Unclassified_Error,Division,Scale,Wrong_term
124,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Unclassified_Error
125,Unclassified_Error,Division,Inverse_operation,FlipChange
126,Denominator-only_change,Wrong_fraction,Unclassified_Error,Additive
127,Irrelevant,Wrong_fraction,Multiplying_by_4,Inverse_operation
128,Irrelevant,Wrong_term,Inverse_operation,Scale
129,Unclassified_Error,Definition,Incomplete,Inversion
130,Unclassified_Error,Unclassified_Error,Incomplete,Wrong_term
131,Additive,Subtraction,Wrong_term,Additive
132,Unclassified_Error,Unclassified_Error,Wrong_term,Inversion
133,Mult,Wrong_fraction,Inversion,Unclassified_Error
134,Unclassified_Error,Wrong_term,Multiplying_by_4,Incomplete
135,Unknowable,Definition,Definition,Unclassified_Error
136,Additive,Additive,Multiplying_by_4,Additive
137,Shorter_is_bigger,Irrelevant,Shorter_is_bigger,Shorter_is_bigger
138,Unclassified_Error,Unclassified_Error,Incomplete,Unclassified_Error
139,Unclassified_Error,Unclassified_Error,Additive,Unclassified_Error
140,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Wrong_term
141,Mult,Division,Inversion,Denominator-only_change
142,Unknowable,Unclassified_Error,Ignores_zeroes,Definition
143,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Unclassified_Error
144,Unclassified_Error,Scale,Scale,Inverse_operation
145,Unclassified_Error,Wrong_fraction,Multiplying_by_4,Incomplete
146,Positive,Wrong_term,Inverse_operation,Additive
147,Unclassified_Error,Incomplete,Definition,Unknowable
148,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Unclassified_Error
149,Tacking,Unclassified_Error,Inverse_operation,Unclassified_Error
150,Unclassified_Error,Definition,Inverse_operation,Definition
151,Unclassified_Error,Subtraction,Ignores_zeroes,Additive
152,Unclassified_Error,Definition,Definition,Inversion
153,Unclassified_Error,Multiplying_by_4,Multiplying_by_4,Wrong_term
154,Incomplete,Wrong_Fraction,Inverse_operation,Unclassified_Error
155,Irrelevant,Wrong_fraction,WNB,Wrong_fraction
156,Unknowable,Incomplete,Unclassified_Error,Unclassified_Error
157,Subtraction,Subtraction,Additive,Subtraction
158,Unclassified_Error,Wrong_term,Positive,Shorter_is_bigger
159,Mult,Inversion,Firstterm,Inversion
160,Whole_numbers_larger,Unclassified_Error,Not_variable,Incomplete
161,Unclassified_Error,Positive,Inversion,Unclassified_Error
162,Wrong_fraction,Wrong_term,Multiplying_by_4,Subtraction
163,Firstterm,Wrong_term,Multiplying_by_4,Wrong_term
164,Inversion,Inversion,Adding_terms,Inversion
165,Unclassified_Error,Subtraction,Additive,Additive
166,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Unclassified_Error
167,Unclassified_Error,Unclassified_Error,Inversion,Inversion
168,SwapDividend,Wrong_fraction,Inversion,SwapDividend
169,Unclassified_Error,Unclassified_Error,Adding_terms,Unclassified_Error
170,Unclassified_Error,Wrong_fraction,Incorrect_Fraction,Wrong_Fraction
171,Unclassified_Error,Unclassified_Error,Unclassified_Error,Incomplete
172,Unclassified_Error,Division,Inversion,Inversion
173,Unclassified_Error,Unclassified_Error,Inversion,Positive
174,Duplication,Denominator-only_change,Multiplying_by_4,Scale
175,Unclassified_Error,Unclassified_Error,Incomplete,Irrelevant
176,Mult,SwapDividend,Multiplying_by_4,Inversion
177,Incomplete,Scale,Adding_across,Incomplete
178,Unclassified_Error,Wrong_fraction,Multiplying_by_4,Unclassified_Error
179,Irrelevant,Unclassified_Error,Wrong_fraction,Unclassified_Error
180,Wrong_term,Whole_numbers_larger,Incomplete,Unclassified_Error
181,Unclassified_Error,Wrong_term,Inversion,Incomplete
182,Unclassified_Error,Unclassified_Error,Longer_is_bigger,Unclassified_Error
183,FlipChange,Wrong_fraction,Inversion,SwapDividend
184,Unclassified_Error,Definition,WNB,Inverse_operation
185,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Unclassified_Error
186,Unclassified_Error,Unclassified_Error,Inversion,Unknowable
187,Unclassified_Error,Wrong_term,Multiplying_by_4,Incomplete
188,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Unclassified_Error
189,Incomplete,Scale,SwapDividend,Scale
190,Unclassified_Error,Unclassified_Error,Incomplete,Unclassified_Error
191,Positive,Positive,Inverse_operation,Unclassified_Error
192,Positive,Subtraction,Inversion,Whole_numbers_larger
193,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Unclassified_Error
194,Incomplete,Wrong_fraction,WNB,Incomplete
195,Unclassified_Error,Positive,Additive,Positive
196,Incomplete,Wrong_fraction,Multiplying_by_4,Incomplete
197,Unclassified_Error,Wrong_term,WNB,Subtraction
198,Unclassified_Error,Wrong_Fraction,Division,Unclassified_Error
199,Definition,Unclassified_Error,Additive,Unclassified_Error
200,Unclassified_Error,Unclassified_Error,Scale,Positive
201,Unclassified_Error,Unclassified_Error,Division,Unclassified_Error
202,Incomplete,Wrong_fraction,Subtraction,Unclassified_Error
203,WNB,Wrong_fraction,Inverse_operation,Wrong_fraction
204,Unclassified_Error,Unclassified_Error,Additive,Additive
205,Mult,Wrong_fraction,Inversion,Inversion
206,Unclassified_Error,Wrong_term,Inversion,Definition
207,Inversion,Denominator-only_change,Multiply_by_4,Denominator-only_change
208,Unclassified_Error,Incomplete,Inversion,Incomplete
209,Whole_numbers_larger,Whole_numbers_larger,Not_variable,Definition
210,Unclassified_Error,Wrong_term,Definition,Unclassified_Error
211,Incomplete,Wrong_fraction,Inversion,Unclassified_Error
212,Division,Wrong_fraction,Division,Inverse_operation
213,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Unknowable
214,Unclassified_Error,Additive,Positive,FlipChange
215,Additive,Subtraction,Inverse_operation,Subtraction
216,Unclassified_Error,Unclassified_Error,Shorter_is_bigger,Unclassified_Error
217,Incomplete,Wrong_fraction,Additive,Wrong_fraction
218,Unclassified_Error,Incomplete,WNB,Unknowable
219,Unclassified_Error,Subtraction,Inverse_operation,Wrong_term
220,Unclassified_Error,Wrong_fraction,Mult,Additive
221,Inversion,Denominator-only_change,Inversion,Denominator-only_change
222,Incomplete,Unclassified_Error,Wrong_fraction,Incomplete
223,Unclassified_Error,Unclassified_Error,Adding_across,Unclassified_Error
224,Unclassified_Error,Unclassified_Error,Inverse_operation,Unclassified_Error
225,Unclassified_Error,Adding_across,Adding_across,Additive
226,Unclassified_Error,Unclassified_Error,Positive,Incomplete
227,Wrong_Fraction,Wrong_fraction,Inversion,Scale
228,Incomplete,Unclassified_Error,Adding_terms,Incomplete
229,Duplication,Scale,Multiplying_by_4,Scale
230,Unclassified_Error,Unclassified_Error,Whole_numbers_larger,Unclassified_Error
231,Tacking,Unclassified_Error,Additive,Unclassified_Error
232,Incomplete,Wrong_fraction,Multiplying_by_4,Incomplete
233,Unclassified_Error,Wrong_term,Scale,Incomplete
234,Duplication,Denominator-only_change,Inversion,Multiplying_by_4
235,Unclassified_Error,Unclassified_Error,Inversion,Wrong_fraction
236,Denominator-only_change,Wrong_fraction,Inverse_operation,Unclassified_Error
237,Incomplete,Wrong_fraction,Wrong_term,Unclassified_Error
238,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Additive
239,Additive,Adding_across,Multiplying_by_4,Additive
240,Unclassified_Error,Unclassified_Error,Whole_numbers_larger,Incomplete
241,Unclassified_Error,Wrong_fraction,Definition,Wrong_Fraction
242,Unclassified_Error,Wrong_term,Definition,Whole_numbers_larger
243,Positive,Positive,Inverse_operation,Positive
244,Unclassified_Error,Unclassified_Error,Ignores_zeroes,Unknowable
245,Incomplete,Scale,Inversion,Incomplete
246,Adding_across,Adding_across,Inversion,Adding_across
247,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Positive
248,Unclassified_Error,Wrong_fraction,Inversion,Unknowable
249,Scale,Wrong_fraction,Inversion,Scale
250,Unclassified_Error,Wrong_term,Involution,Definition
251,Unclassified_Error,Wrong_term,Incomplete,Incomplete
252,Unclassified_Error,Positive,Unclassified_Error,Unclassified_Error
253,WNB,Wrong_fraction,Wrong_fraction,Wrong_Fraction
254,Unclassified_Error,Wrong_term,Wrong_Fraction,Unclassified_Error
255,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Positive
256,Duplication,Wrong_fraction,Multiplying_by_4,Multiplying_by_4
257,Unclassified_Error,Unclassified_Error,Inversion,Unclassified_Error
258,Wrong_fraction,Wrong_term,WNB,Incomplete
259,Base_rate,Unclassified_Error,Inversion,Scale
260,Unclassified_Error,Unclassified_Error,Inversion,Positive
261,Unclassified_Error,Unclassified_Error,Positive,Unclassified_Error
262,Unclassified_Error,Wrong_fraction,Inverse_operation,Denominator-only_change
263,Unclassified_Error,Unclassified_Error,Incomplete,Positive
264,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Unclassified_Error
265,Unclassified_Error,Wrong_fraction,Wrong_Fraction,Scale
266,Unclassified_Error,Additive,Multiplying_by_4,Adding_terms
267,Wrong_Fraction,Wrong_fraction,Additive,Wrong_fraction
268,Unclassified_Error,Unclassified_Error,Incomplete,Positive
269,Unclassified_Error,Wrong_fraction,Multiplying_by_4,Inversion
270,Unclassified_Error,Unclassified_Error,Unclassified_Error,Unknowable
271,Unclassified_Error,Unclassified_Error,Inversion,Positive
272,Unclassified_Error,Wrong_term,Irrelevant,Whole_numbers_larger
273,Unclassified_Error,Wrong_fraction,Additive,Wrong_Fraction
274,Subtraction,Wrong_term,Additive,Additive
275,Unclassified_Error,Unclassified_Error,Division,Inversion
276,SwapDividend,Unclassified_Error,Multiplying_by_4,SwapDividend
277,Unclassified_Error,Wrong_term,Scale,Incomplete
278,Unclassified_Error,Unclassified_Error,Wrong_operation,Positive
279,Incomplete,Wrong_fraction,Multiplying_by_4,Incomplete
280,Unclassified_Error,Scale,Definition,Scale
281,Positive,Positive,Inverse_operation,Positive
282,Unclassified_Error,Positive,Incorrect_denominator_change,Unclassified_Error
283,Unclassified_Error,Positive,Incomplete,Unclassified_Error
284,Unclassified_Error,Additive,Multiplying_by_4,Additive
285,Adding_across,Wrong_fraction,Inversion,Adding_across
286,Unclassified_Error,Wrong_term,Positive,Scale
287,Wrong_term,Wrong_term,Infinite_Series,Incomplete
288,Unclassified_Error,Unclassified_Error,Scale,Unclassified_Error
289,Additive,Subtraction,Wrong_Fraction,Subtraction
290,Unclassified_Error,Wrong_term,Additive,Additive
291,Adding_across,Adding_across,Inversion,Adding_across
292,Unclassified_Error,Unclassified_Error,Inversion,Positive
293,Incomplete,Incomplete,Unclassified_Error,Incomplete
294,SwapDividend,Inversion,Inversion,SwapDividend
295,Wrong_fraction,Wrong_term,Inversion,Wrong_term
296,Unclassified_Error,Unclassified_Error,Inversion,Unclassified_Error
297,Unclassified_Error,Unclassified_Error,Multiplying_by_4,Unclassified_Error
298,Subtraction,Subtraction,Swapping_Dividends,Additive
